Point ID,arc_length,DVM_Density,DVM_HeatFlux_0,DVM_HeatFlux_1,DVM_HeatFlux_2,DVM_HeatFlux_Magnitude,DVM_PressureXX,DVM_PressureXY,DVM_PressureXZ,DVM_PressureYY,DVM_PressureYZ,DVM_PressureZZ,DVM_RelaxationFactor,DVM_Temperature,DVM_Velocity_0,DVM_Velocity_1,DVM_Velocity_2,DVM_Velocity_Magnitude,ElemTime,Points_0,Points_1,Points_2,Points_Magnitude,vtkValidPointMask
0,0,0.000119734,-16.5742,0.828957,0,16.5949,7.18996,-0.0292331,0,7.19069,0,7.1897,2.5546,288.369,-0.290496,-479.381,0,479.381,0,-0.48,0,0,0.48,1
1,0.04,0.000109385,-16.7085,0.40014,0,16.7133,7.18549,-0.0340332,0,7.18644,0,7.18593,2.38251,315.47,0.0306794,-437.356,0,437.356,0,-0.44,0,0,0.44,1
2,0.08,0.000101571,-15.3759,0.275808,0,15.3783,7.18745,-0.036883,0,7.18803,0,7.18761,2.25048,339.821,0.0624429,-393.603,0,393.603,0,-0.4,0,0,0.4,1
3,0.12,9.56775e-05,-13.5909,0.224931,0,13.5927,7.18678,-0.0383126,0,7.18735,0,7.18695,2.1492,360.72,0.0731363,-349.775,0,349.775,0,-0.36,0,0,0.36,1
4,0.16,9.12328e-05,-11.709,0.18495,0,11.7104,7.186,-0.0387846,0,7.18653,0,7.18615,2.07185,378.251,0.0629802,-306.814,0,306.814,0,-0.32,0,0,0.32,1
5,0.2,8.78509e-05,-9.91633,0.152902,0,9.91751,7.1852,-0.0387323,0,7.18571,0,7.18535,2.0124,392.768,0.0490512,-265.122,0,265.122,0,-0.28,0,0,0.28,1
6,0.24,8.52583e-05,-8.26309,0.126283,0,8.26406,7.18453,-0.0384546,0,7.18503,0,7.18467,1.96647,404.674,0.0359953,-224.747,0,224.747,0,-0.24,0,0,0.24,1
7,0.28,8.32694e-05,-6.73574,0.102775,0,6.73652,7.18401,-0.0381239,0,7.18449,0,7.18414,1.93102,414.309,0.0255362,-185.556,0,185.556,0,-0.2,0,0,0.2,1
8,0.32,8.17613e-05,-5.30239,0.0809774,0,5.303,7.18362,-0.0378238,0,7.18409,0,7.18375,1.90401,421.928,0.0176275,-147.34,0,147.34,0,-0.16,0,0,0.16,1
9,0.36,8.06534e-05,-3.93259,0.060137,0,3.93305,7.18334,-0.037587,0,7.18381,0,7.18347,1.8841,427.707,0.0117016,-109.879,0,109.879,0,-0.12,0,0,0.12,1
10,0.4,7.98934e-05,-2.60285,0.0398435,0,2.60316,7.18315,-0.0374209,0,7.18362,0,7.18328,1.8704,431.764,0.00712958,-72.9622,0,72.9622,0,-0.08,0,0,0.08,1
11,0.44,7.94492e-05,-1.29619,0.0198534,0,1.29634,7.18304,-0.0373236,0,7.18352,0,7.18317,1.86238,434.172,0.00337471,-36.3955,0,36.3955,0,-0.04,0,0,0.04,1
12,0.48,7.9303e-05,-7.00041e-10,8.71991e-12,0,7.00095e-10,7.18301,-0.0372917,0,7.18348,0,7.18314,1.85974,434.97,1.93064e-11,-2.09347e-08,0,2.09347e-08,0,0,0,0,0,1
13,0.52,7.94492e-05,1.29619,-0.0198534,0,1.29634,7.18304,-0.0373236,0,7.18352,0,7.18317,1.86238,434.172,-0.00337471,36.3955,0,36.3955,0,0.04,0,0,0.04,1
14,0.56,7.98934e-05,2.60285,-0.0398435,0,2.60316,7.18315,-0.0374209,0,7.18362,0,7.18328,1.8704,431.764,-0.00712958,72.9622,0,72.9622,0,0.08,0,0,0.08,1
15,0.6,8.06534e-05,3.93259,-0.060137,0,3.93305,7.18334,-0.037587,0,7.18381,0,7.18347,1.8841,427.707,-0.0117016,109.879,0,109.879,0,0.12,0,0,0.12,1
16,0.64,8.17613e-05,5.30239,-0.0809774,0,5.303,7.18362,-0.0378238,0,7.18409,0,7.18375,1.90401,421.928,-0.0176275,147.34,0,147.34,0,0.16,0,0,0.16,1
17,0.68,8.32694e-05,6.73574,-0.102775,0,6.73652,7.18401,-0.0381239,0,7.18449,0,7.18414,1.93102,414.309,-0.0255362,185.556,0,185.556,0,0.2,0,0,0.2,1
18,0.72,8.52583e-05,8.26309,-0.126283,0,8.26406,7.18453,-0.0384546,0,7.18503,0,7.18467,1.96647,404.674,-0.0359953,224.747,0,224.747,0,0.24,0,0,0.24,1
19,0.76,8.78509e-05,9.91633,-0.152902,0,9.91751,7.1852,-0.0387323,0,7.18571,0,7.18535,2.0124,392.768,-0.0490512,265.122,0,265.122,0,0.28,0,0,0.28,1
20,0.8,9.12328e-05,11.709,-0.18495,0,11.7104,7.186,-0.0387846,0,7.18653,0,7.18615,2.07185,378.251,-0.0629802,306.814,0,306.814,0,0.32,0,0,0.32,1
21,0.84,9.56775e-05,13.5909,-0.224931,0,13.5927,7.18678,-0.0383126,0,7.18735,0,7.18695,2.1492,360.72,-0.0731363,349.775,0,349.775,0,0.36,0,0,0.36,1
22,0.88,0.000101571,15.3759,-0.275808,0,15.3783,7.18745,-0.036883,0,7.18803,0,7.18761,2.25048,339.821,-0.0624429,393.603,0,393.603,0,0.4,0,0,0.4,1
23,0.92,0.000109385,16.7085,-0.40014,0,16.7133,7.18549,-0.0340332,0,7.18644,0,7.18593,2.38251,315.47,-0.0306794,437.356,0,437.356,0,0.44,0,0,0.44,1
24,0.96,0.000119734,16.5742,-0.828957,0,16.5949,7.18996,-0.0292331,0,7.19069,0,7.1897,2.5546,288.369,0.290496,479.381,0,479.381,0,0.48,0,0,0.48,1
